"Date","Samsung","Nokia","Unknown","Xiaomi","Micromax","Oppo","Lenovo","Mobicel","Motorola","Apple","Sony","BBK","HTC","Huawei","Realme","Vivo","Asus","Gionee","OnePlus","LG","Lava","Lyf","Spice","Google","Coolpad","Panasonic","LeEco","Reliance Digital","Tecno","Itel","RIM","Intex","Alcatel","Infinix","InFocus","Karbonn","Yu","Xolo","ZTE","Comio","Mobiistar","HP","Opp","Infinex","QMobile","Meizu","Other"
2013-07,26.83,46.44,16.53,0,4.36,0,0.24,0,0.05,1.1,1.74,0,0.89,0.09,0,0,0,0,0,0.94,0,0,0,0.06,0,0,0,0,0,0,0.28,0,0.31,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04
2013-08,26.72,45.24,17.47,0,4.83,0,0.29,0,0.04,1.07,1.63,0,0.89,0.1,0,0,0,0,0,0.91,0,0,0,0.07,0,0,0,0,0,0,0.29,0,0.32,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.03
2013-09,26.86,44,18.67,0,4.9,0,0.34,0,0.04,1.02,1.56,0,0.85,0.09,0,0,0,0,0,0.88,0,0,0,0.07,0,0,0,0,0,0,0.31,0,0.3,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.03
2013-10,26.73,41.89,20.41,0,5.2,0,0.55,0,0.04,1,1.49,0,0.85,0.09,0,0,0,0,0,0.9,0,0,0,0.08,0,0,0,0,0,0,0.34,0,0.32,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.03
2013-11,27.99,40.77,18.91,0,5.88,0,0.44,0,0.04,1.01,1.44,0,0.87,0.09,0,0,0,0,0,0.88,0,0,0.8,0.09,0,0,0,0,0,0,0.34,0,0.34,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.03
2013-12,28.18,38.33,20.24,0,6.42,0,0.47,0,0.04,1.14,1.37,0,0.93,0.1,0,0,0,0,0,0.86,0,0,1.03,0.09,0,0,0,0,0,0,0.32,0,0.36,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.03
2014-01,28.84,37.09,20.22,0,6.65,0,0.48,0,0.04,1.25,1.41,0,0.95,0.1,0,0,0,0,0,0.87,0,0,1.17,0.1,0.01,0,0,0,0,0,0.35,0,0.35,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.03
2014-02,31.41,36.21,17.67,0,6.98,0,0.49,0,0.05,1.27,1.9,0,0.96,0.11,0,0,0,0,0,0.85,0,0,1.17,0.14,0.01,0,0,0,0,0,0.34,0,0.34,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.03
2014-03,31.85,34.93,17.39,0,7.6,0,0.5,0,0.12,1.2,2.42,0,0.96,0.11,0,0,0,0,0,0.81,0,0,1.18,0.15,0.01,0,0,0,0,0,0.32,0,0.34,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.03
2014-04,32.47,34.27,16.9,0,7.82,0,0.5,0,0.19,1.24,2.59,0,0.96,0.12,0,0,0,0,0,0.78,0,0,1.23,0.17,0.01,0,0,0,0,0,0.32,0,0.33,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.04
